Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMD,CAT,GOOGL,LMT,MSFT,NVDA,NVO,^GSPC,AAPL,AMD,CAT,GOOGL,LMT,MSFT,NVDA,NVO,^GSPC,AAPL,AMD,CAT,GOOGL,LMT,MSFT,NVDA,NVO,^GSPC,AAPL,AMD,CAT,GOOGL,LMT,MSFT,NVDA,NVO,^GSPC,AAPL,AMD,CAT,GOOGL,LMT,MSFT,NVDA,NVO,^GSPC
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,254.72935485839844,164.00999450683594,477.41448974609375,244.42173767089844,489.4395751953125,516.4392700195312,187.00149536132812,57.076717376708984,6711.2001953125,258.05994405161016,164.17999267578125,480.50244791571475,245.8190127995852,494.4124453977228,517.2342231556227,187.90034282726023,57.124951450419864,6718.47998046875,254.21081755391603,160.49000549316406,467.80305783049585,238.14402788220525,485.51621186709355,508.4697238165545,183.6657383394342,54.018865506290346,6656.2001953125,254.3205078449461,160.92999267578125,470.65272555141894,240.2798481454496,486.6638088110678,511.56013673304216,185.00404300205486,54.02851011318661,6664.919921875,48713900,39895200,2964700,31658200,1187000,22632300,173844900,24835100,6037950000
2025-10-02,256.40460205078125,169.72999572753906,487.095458984375,245.210205078125,489.79266357421875,512.4942016601562,188.64939880371094,56.66193389892578,6715.35009765625,257.45162766856953,171.05999755859375,492.4671453442399,246.32801300536266,493.95144905689415,518.3173074331339,190.80665113886596,57.02848784240031,6731.93994140625,253.43299812845933,166.1199951171875,480.7606416080199,241.82682587144092,487.4877115649776,507.46604898963056,187.82045419605362,55.94811154631678,6693.22998046875,255.85613542550084,168.67999267578125,483.41171389471896,244.6712510924991,489.6749674636227,514.3822683481345,189.35850113919957,56.79698047596832,6731.31005859375,42630200,55475200,2648600,25483300,915500,21222900,136805800,11966700,5416130000
2025-10-03,257.2920837402344,164.6699981689453,494.3238830566406,244.8708953857422,494.8243713378906,514.0940551757812,187.38101196289062,57.52044677734375,6715.7900390625,258.5086431914624,170.67999267578125,500.9069295931007,245.8190372139174,497.0999292041082,517.2143082734997,190.11752734214045,57.97381689797763,6750.8701171875,253.23357360959045,163.13999938964844,489.0415557569383,241.18809864914257,489.6847750649562,511.75886906280147,185.14387494216948,56.382191812807015,6705.669921875,253.9515436206674,170.67999267578125,489.7564574238261,244.0125741538274,489.8515311733551,513.8456285403139,188.9490194719917,56.912733507863884,6722.14013671875,49155600,42699100,2996500,30249600,1006500,15112300,137596900,15362900,5713110000
2025-10-06,255.96585083007812,203.7100067138672,491.8713684082031,249.9409637451172,504.3876037597656,525.2435302734375,185.30364990234375,57.53974151611328,6740.27978515625,258.3391414491699,226.7100067138672,502.0090453813247,250.82924041118625,505.5548067997618,527.6880704621805,186.9914995955013,58.745519807065,6749.52001953125,254.33047806472084,203.00999450683594,489.54794560259205,244.1023965111835,496.9234190424859,514.9387971845453,183.09647356463947,57.53974151611328,6717.77978515625,257.2621712100349,226.4499969482422,496.875679997982,244.30200291397747,496.9234190424859,515.3461902238155,185.2637075602064,58.0124045455101,6733.85986328125,44664100,248859600,2629200,28894700,1389700,21388600,157678100,13782400,5604460000
2025-10-07,255.75643920898438,211.50999450683594,483.2627868652344,245.2800750732422,501.2783508300781,520.682373046875,184.80429077148438,56.93202590942383,6714.58984375,256.67382669789566,218.89999389648438,494.8501454788949,249.95094390133718,506.0942531629051,526.4657528279373,188.8191743935438,57.4818604933344,6754.490234375,254.70938317067183,209.27999877929688,480.1251644554502,245.04055349112926,499.3853351340582,518.1583800775612,183.76562222076905,56.459359219526114,6699.9599609375,256.0854948355218,214.85000610351562,494.40332055828225,247.78518329877946,504.34838754375863,524.9652461341774,185.99277739696944,57.356458525852446,6746.14013671875,31955800,115748100,2135400,23181300,922400,14615200,140088000,9675100,5546150000
2025-10-08,257.3320007324219,235.55999755859375,498.5636291503906,244.1422882080078,504.17181396484375,521.546875,188.86911010742188,57.501155853271484,6753.72021484375,257.7906945345413,235.8699951171875,505.8715162252059,245.52957313307672,506.11385961795855,523.6336952116123,189.35849142592937,58.002760064972314,6755.64013671875,255.38748958216482,210.6999969482422,485.8741472856886,243.34386267365892,501.4254417281154,519.7980023635643,186.30237648821537,57.36610927314882,6718.08984375,255.79633660873378,212.9499969482422,487.51245476817644,244.48163581199606,505.3782290080488,519.9868090400763,186.33235229407293,57.69408111619386,6723.8701171875,36496900,159983500,3959400,21307100,798400,13363400,130168900,9888700,5383130000
2025-10-09,253.3233184814453,232.88999938964844,496.8160705566406,241.05833435058594,498.0317687988281,519.1123657226562,192.32470703125,56.60405731201172,6735.10986328125,257.2721535801604,240.10000610351562,502.9423834437411,244.28202248032238,505.31940926541336,521.0302122328587,195.05122522476873,57.29858679649441,6764.580078125,252.42586356688122,229.52999877929688,493.6189060373594,238.68297718710045,494.1574353964147,514.1438325922749,190.816620752273,56.38219454441161,6716.169921875,257.082687156571,236.3000030517578,500.48987657535594,243.99259549865826,504.04432810995183,519.0527457511332,191.9851285494953,56.83556468701037,6760.5,38322000,94290700,3113900,27892100,1186000,18343600,182997200,8839800,5385020000
2025-10-10,244.57806396484375,214.89999389648438,487.82025146484375,236.1080322265625,495.3736572265625,507.74432373046875,182.92669677734375,54.91596603393555,6552.509765625,255.6567217403356,234.22000122070312,507.87719280264673,243.61333616794536,503.612744278065,520.2849266906686,195.37081685366852,56.71980930244758,6762.39990234375,243.3116425485481,213.1999969482422,487.82025146484375,235.37944680935243,490.95008536611385,506.42270727517143,181.81811007166195,54.780919455936385,6550.77978515625,254.2207817432353,232.77000427246094,499.55654108113106,240.958526974338,499.08123442658376,516.3697201998212,193.26350393527704,56.526884042558805,6740.490234375,61999100,118656600,3889100,33180300,1313800,24133800,268774400,15047600,6596610000
2025-10-13,246.96131896972656,216.4199981689453,501.1849670410156,243.6732177734375,494.1770324707031,510.8149108886719,188.0801239013672,55.46580123901367,6654.72021484375,248.98559082884384,224.19000244140625,502.7934882861738,244.02254038501275,497.70806551860727,513.1600441163425,189.8678370807686,56.07351452639534,6668.68017578125,244.86723728717817,214.89999389648438,491.9409090148612,239.2419009980627,490.4204251842621,508.45983088995337,185.72312947730666,55.22464558145275,6620.7099609375,248.6764678182016,220.1999969482422,498.5934370227023,239.74092459803205,492.67634716695477,513.1600441163425,187.73056363822363,55.27287597701627,6622.52978515625,38142900,63104000,2618400,24995000,926700,14284200,153482800,8835500,5303960000
2025-10-14,247.07101440429688,218.08999633789062,523.7340087890625,244.97068786621094,495.5011901855469,510.3378601074219,179.8006591796875,54.655517578125,6644.31005859375,248.14796941642882,224.97999572753906,527.795066820886,246.63742490132327,497.2863277768441,512.0371200755203,184.5645869600227,54.85808744546872,6680.7001953125,244.00966795095763,215.89999389648438,495.47562393369753,240.04033214741565,489.43960071133176,502.8154945413961,179.47107773683655,53.825941535010784,6555.06982421875,245.90431694508948,219.1999969482422,497.0344809157389,240.75892736637323,491.64649269850713,507.0188839999062,184.53462639606815,54.28895995168641,6602.490234375,35478000,71216300,5459800,22111600,1078000,14684300,205641400,7632700,5666920000
2025-10-15,248.63658142089844,238.60000610351562,530.2674560546875,250.53977966308594,489.84173583984375,510.19879150390625,179.60093688964844,54.71339416503906,6671.06005859375,251.10959602979932,239.24000549316406,534.6363162849174,251.61767243328853,495.3246326368877,513.93513816427,184.63451030281777,54.925608631383106,6724.1201171875,246.77186176083558,220.75999450683594,523.475935863802,245.5096286311317,476.17862988981227,506.7903850161382,177.06416377208902,54.11532551329215,6612.10986328125,248.78616738422895,222.7100067138672,530.4164178863688,246.76716258187247,493.36295092347433,511.71919177145384,184.56460739230218,54.414359839165606,6688.27001953125,33893600,108481000,3447100,27007700,1678500,14694700,214450500,8475200,5633060000
2025-10-16,246.75192260742188,234.55999755859375,537.1286010742188,250.9689483642578,483.79974365234375,508.3902282714844,181.5784149169922,54.105682373046875,6629.06982421875,248.33743345063007,241.1999969482422,541.1300265527542,256.4581925767255,491.70531841703945,513.597241245564,183.0465437061986,55.514030501314295,6709.33984375,244.43847540742667,232.24000549316406,530.9129286556549,249.61160360230107,482.5736926040611,504.93214864922606,179.5410200965125,53.98992869010875,6593.990234375,247.54966879270205,236.2899932861328,534.2491164666017,251.27834055068328,491.1462319551297,509.3541552294708,181.99787810828644,55.060660376580294,6689.02001953125,39777000,69726400,3463100,27997200,1099700,15559600,179723300,8353700,6048180000
